,title,name,url,lat,long,artist,description,artist_state,address,img_link,id,Sentence,ArtState
171,Centennial Rocket," ""Cambie Street Plaza""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=178&Neighbourhood=&Ownership=&Program=,-123.115347,49.266071000000004,['Lew Parry'],"A 12-foot-long stylized rocket ship made of bronze and stainless steel sits on top of an 11-foot-high stainless steel base. The design of the rocket ship looks like a 1950s Hollywood movie space ship. The design was originally created in 1936 for the Sheet Metal Workers Local 280 float for the Pacific National Exhibition Jubilee Parade on the occasion of the City of Vancouver's 50th birthday. It was designed by Lew Parry and made into a sculpture, built by Neon Products, which was sited at the first Vancouver Air Terminal from 1939 to 1972 when it was scrapped because of rust. In 1985 the Vancouver Transportation Club and the Sheet Metal Workers Union 280 decided to build a replica to celebrate Vancouver's 100th birthday. They located Lew Parry and he still had the original plans. This time the rocketship was built from more durable materials by Terminal Sheet Metal and the Local 280 metal workers. The Rocket was exhibited at Expo 86 and then donated to the city. It was moved by helicopter to it's current site. A Centennial Time Capsule is housed in the base of the rocket, scheduled to be opened 50 years from 1986. It includes items such as an Expo 86 passport with stamps of all the pavilions and recorded messages from local celebrities and many other things.
The City accepted the Centennial Rocket and a site was found for it in the small plaza at the SW end of the Cambie Street bridge.  -information from the website of SMW280","1985 version:  ""Presented to the citizens of Vancouver, this rocket is to commemorate the Centennial and the celebration of Expo 86 World's Exposition. This rocket is a symbol of the role played by craftsmanship and transportation in the growth of Vancouver."" (from the plaque on the east side of the base)", Cambie Street,https://app.vancouver.ca/publicart_net/Img/jpg/178.jpg,pid_146,a foot long stylized rocket ship made of bronze and stainless steel sits on top of an foot high stainless steel base the design of the rocket ship looks like a s hollywood movie space ship the design was originally created in for the sheet metal workers local float for the pacific national exhibition jubilee parade on the occasion of the city of vancouver s th birthday it was designed by lew parry and made into a sculpture built by neon products which was sited at the first vancouver air terminal from to when it was scrapped because of rust in the vancouver transportation club and the sheet metal workers union decided to build a replica to celebrate vancouver s th birthday they located lew parry and he still had the original plans this time the rocketship was built from more durable materials by terminal sheet metal and the local metal workers the rocket was exhibited at expo and then donated to the city it was moved by helicopter to it s current site a centennial time capsule is housed in the base of the rocket scheduled to be opened years from it includes items such as an expo passport with stamps of all the pavilions and recorded messages from local celebrities and many other things the city accepted the centennial rocket and a site was found for it in the small plaza at the sw end of the cambie street bridge information from the website of smw,version presented to the citizens of vancouver this rocket is to commemorate the centennial and the celebration of expo world s exposition this rocket is a symbol of the role played by craftsmanship and transportation in the growth of vancouver from the plaque on the east side of the base
172,Garland," ""Marpole-Oakridge Community Centre (Oak Park)""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=385&Neighbourhood=&Ownership=&Program=,-123.12809299999999,49.217006,['Douglas Senft'],Garland is a green steel archway 16' high that spans the sidewalk between the community centre and the parking lot. The arch is adorned with a cluster of forged steel oak leaves each about 3' long. It contains lights that illuminate the path.,"""garland is intended as a lyrical work creating a memorable image of arrival, passage and place. The imagery for this gateway sculpture is derived from two sources. First is the image of the oak leaf, in reference to Oak Park. The image or form of the arch reflects the arc lines and shapes of the concrete forms that are part of the walkway itself.""", 990 West 59th Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/385.jpg,pid_147,garland is a green steel archway high that spans the sidewalk between the community centre and the parking lot the arch is adorned with a cluster of forged steel oak leaves each about long it contains lights that illuminate the path,garland is intended as a lyrical work creating a memorable image of arrival passage and place the imagery for this gateway sculpture is derived from two sources first is the image of the oak leaf in reference to oak park the image or form of the arch reflects the arc lines and shapes of the concrete forms that are part of the walkway itself
173,Unlimited Growth Increases The Divide," ""Or Art Gallery""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=358&Neighbourhood=&Ownership=&Program=,-123.11209299999999,49.281487,['Kathryn Walter'],"The text consists of 7"" copper letters above the entrance to the gallery. The text is cut from 1/4"" copper plate and installed in its original red metallic state, inviting a ""corporate"" reading. However, it will change with time and exposure, to a greenish, aged surface. The text will be visually assimilated into the existing green color of the building, and will remain permanently on the site.","""The strategy behind ""Unlimited Growth ..."" is direct.  It is directed at those who operate our free-market economy in their own interests, while excluding those interests that would be 'responsive to the needs of the community'.  The subtext to ""Unlimited Growth .."" relates to several aspects of public art including the need to address the use of site-specific work as a way of intervening in local issues, and in this instance, acting as a marker of resistance by the economically marginalized, as represented by a parallel gallery and a hotel providing affordable housing.  

Walter raises questions related to the systems underlying the transactions and power-plays that constitute normal business in the world of real estate development. In Walter's art the museum without walls is also a museum OF walls, walls  new and old, as well as those walls that perpetuate economic class distinctions.  Her text on the façade of the Del-Mar Hotel will stand as a witness to the various power-plays, including the threat to move B.C. Hydro's head office to the suburb of Burnaby, that led to the development surrounding 553-555 Hamilton Street."" - from ""The Interventions of Kathryn Walter"" by Bill Jeffries, Contemporary Art Gallery, Vancouver, 1990",555 Hamilton Street,https://app.vancouver.ca/publicart_net/Img/jpg/358.jpg,pid_148,the text consists of copper letters above the entrance to the gallery the text is cut from copper plate and installed in its original red metallic state inviting a corporate reading however it will change with time and exposure to a greenish aged surface the text will be visually assimilated into the existing green color of the building and will remain permanently on the site,the strategy behind unlimited growth is direct it is directed at those who operate our free market economy in their own interests while excluding those interests that would be responsive to the needs of the community the subtext to unlimited growth relates to several aspects of public art including the need to address the use of site specific work as a way of intervening in local issues and in this instance acting as a marker of resistance by the economically marginalized as represented by a parallel gallery and a hotel providing affordable housing walter raises questions related to the systems underlying the transactions and power plays that constitute normal business in the world of real estate development in walter s art the museum without walls is also a museum of walls walls new and old as well as those walls that perpetuate economic class distinctions her text on the fa ade of the del mar hotel will stand as a witness to the various power plays including the threat to move b c hydro s head office to the suburb of burnaby that led to the development surrounding hamilton street from the interventions of kathryn walter by bill jeffries contemporary art gallery vancouver
174,day off - night out," ""Cambie Village""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=490&Neighbourhood=&Ownership=&Program=,-123.114709895149,49.25569945,['Douglas Senft'],"Thirty stainless steel embedded plates.  Two images: one of a place setting and the other of a film reel.  Both surface finishes are reflective, each catching the light differently depending on the daylight conditions.","The intention was to create visually playful iconic imagery referring to the ""village"" on Cambie Street.  This is an area with many restaurants and the historic Park Theatre.",Cambie Street between 17th and 19th Avenues - both East and West sidewalks,https://app.vancouver.ca/publicart_net/Img/jpg/490.jpg,pid_149,thirty stainless steel embedded plates two images one of a place setting and the other of a film reel both surface finishes are reflective each catching the light differently depending on the daylight conditions,the intention was to create visually playful iconic imagery referring to the village on cambie street this is an area with many restaurants and the historic park theatre
175,Marker of Change," ""Thornton Park""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=165&Neighbourhood=&Ownership=&Program=,-123.09899999999999,49.27401,['Beth Alber'],"The monument consists of a 100' diameter circle of 14 pink granite benches each 5.5' long with a slight bowl in the top.  Each bench is inscribed with the name of one of the 14 women killed by a gunman on December 6th, 1989, at the l'Ecole Polytechnique, University of Montreal.  The benches are about the length and width of a woman's body and the depression in the center of each bench catches rain water, a reference to tears. A 98' diameter circle outside the benches is set w/ 500 7½"" square tiles with the names of donors.
The circle is situated close to the center of the park and makes reference to ancient stone circles. The space inside the circle is slightly domed and covered with grass. An alter-like podium stands just outside the circles and bears the name of the piece and an inscription. Over time, Marker of Change has quietly asserted itself into the consciousness of the community and has become a site for individual reflection and meditation as well as a place of discovery."," It took nearly eight years for this monument to come into being. A committee was formed in conjunction with Capilano College and a subsequent national competition drew 98 entries. Toronto artist Beth Alber won with the design incorporating 14 pink granite benches in a circle.  It stands as a reminder of violence against women in society.  The competition policies state that, ""The Women's Monument is conceived as a rational monument to be located in Vancouver, BC, dedicated to all women who have been murdered by men, and naming the 14 women killed in Montreal on Dec 6,1989. It will provide a focus for healing and a tangible symbol of remembrance."" Beth Alber's artist proposal states,  ""The circle, the symbol used by women for centuries to represent a continuum, in a non-hierarchical way, is one of the major elements for this Women's Monument. It is a symbol of women's spirit and is associated with the idea of a protected or consecrated space.""  During the course of the project, considerable controversy was stirred up by the wording of the inscription which is dedicated to ""all women who have been murdered by men"".  Many people felt this inscription was too political. Some were critical about the eventual cost of the monument, approximately $500,000, which they felt could have been put to better purpose.  Many felt that the monument was too specific and was inappropriately sited in a public place, and that public money shouldn't be used to commemorate what was construed to be a private grief. But despite the obstacles, ""Marker of Change"" was unveiled in Thornton Park on December 6th, 1997 exactly eight years after the 14 women were killed.", Main Street & Terminal,https://app.vancouver.ca/publicart_net/Img/jpg/165.jpg,pid_150,the monument consists of a diameter circle of pink granite benches each long with a slight bowl in the top each bench is inscribed with the name of one of the women killed by a gunman on december th at the l ecole polytechnique university of montreal the benches are about the length and width of a woman s body and the depression in the center of each bench catches rain water a reference to tears a diameter circle outside the benches is set w square tiles with the names of donors the circle is situated close to the center of the park and makes reference to ancient stone circles the space inside the circle is slightly domed and covered with grass an alter like podium stands just outside the circles and bears the name of the piece and an inscription over time marker of change has quietly asserted itself into the consciousness of the community and has become a site for individual reflection and meditation as well as a place of discovery,it took nearly eight years for this monument to come into being a committee was formed in conjunction with capilano college and a subsequent national competition drew entries toronto artist beth alber won with the design incorporating pink granite benches in a circle it stands as a reminder of violence against women in society the competition policies state that the women s monument is conceived as a rational monument to be located in vancouver bc dedicated to all women who have been murdered by men and naming the women killed in montreal on dec it will provide a focus for healing and a tangible symbol of remembrance beth alber s artist proposal states the circle the symbol used by women for centuries to represent a continuum in a non hierarchical way is one of the major elements for this women s monument it is a symbol of women s spirit and is associated with the idea of a protected or consecrated space during the course of the project considerable controversy was stirred up by the wording of the inscription which is dedicated to all women who have been murdered by men many people felt this inscription was too political some were critical about the eventual cost of the monument approximately which they felt could have been put to better purpose many felt that the monument was too specific and was inappropriately sited in a public place and that public money shouldn t be used to commemorate what was construed to be a private grief but despite the obstacles marker of change was unveiled in thornton park on december th exactly eight years after the women were killed
176,Tribute to the Cambie Works Yard," ""National Works Yard""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=458&Neighbourhood=&Ownership=&Program=,-123.088931251443,49.27370526,['Carol Sawyer'],"A transparent film is applied to the glass on the sliding doors of the meeting room off the main lobby, creating a panorama in sections. The images are drawn from photographs of the layers of marking on the asphalt of the old Cambie Work Yard. Many different employees over the course of many years, contributed to the patterns of white and yellow dashes, circles, and lines as a result of testing the line-painting equipment. Isolated and blown up they become abstract images with cryptic symbols and letters. The panoramic image is complete when the doors are closed, and layered when open.",The artist took numerous photos of the layers of markings made over the course of years by the employees in the course of their work., 700 National Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/458.jpg,pid_151,a transparent film is applied to the glass on the sliding doors of the meeting room off the main lobby creating a panorama in sections the images are drawn from photographs of the layers of marking on the asphalt of the old cambie work yard many different employees over the course of many years contributed to the patterns of white and yellow dashes circles and lines as a result of testing the line painting equipment isolated and blown up they become abstract images with cryptic symbols and letters the panoramic image is complete when the doors are closed and layered when open,the artist took numerous photos of the layers of markings made over the course of years by the employees in the course of their work
177,Dry Stream," ""John Street pedestrian throughway""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=269&Neighbourhood=&Ownership=&Program=,-123.09703600000002,49.247555,"['Glen Andersen', '', '', '', 'Sarah White']","A stone mosaic ""stream""runs beside the walkway.  It is animated with creatures inlaid and various colours of stone and ""flows"" from a small cave which could be the mouth of an animal.",The project was to build a pebble mosaic with volunteers from the neighbourhood., John Street,https://app.vancouver.ca/publicart_net/Img/jpg/269.jpg,pid_152,a stone mosaic stream runs beside the walkway it is animated with creatures inlaid and various colours of stone and flows from a small cave which could be the mouth of an animal,the project was to build a pebble mosaic with volunteers from the neighbourhood
178,Bright Futures," ""Killarney Ice Rink""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=521&Neighbourhood=&Ownership=&Program=,-123.044018,49.22695,['Brent Sparrow'],"A sandblasted glass whorl on a stainless steel base, the design is a Salish face as the central figure surrounded by larger triangles that represent athletes of today. The smaller faces represent our future athletes.",,"Killarney Community Centre, 6260 Killarney Street",https://app.vancouver.ca/publicart_net/Img/jpg/521.jpg,pid_153,a sandblasted glass whorl on a stainless steel base the design is a salish face as the central figure surrounded by larger triangles that represent athletes of today the smaller faces represent our future athletes,
179,Then Again," """"", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=545&Neighbourhood=&Ownership=&Program=,-123.13881299999998,49.234303000000004,['Jeremy Borsos'],"Eight different photographic based works couple an image of a contemporary address with a postcard or letter sent to the same address as far back in time as 1907. The envelope occupies the lower register and the location is pictured above it. This was the first time the work was placed within the neighbourhoods represented, and was shown within the context of the street, outside a gallery. 
June 6th-July 4th
July 4th-August 1st
Title of Artworks:
4269 Victoria Drive 1959 / 2011
901 Drake Street   1944 / 2011
1432 West 5th Avenue 1930 / 2011
310 Granville Street 1961 / 2011
1877 West Broadway 1912 / 2011
6079 West Boulevard 1944 / 2011
1033 Thurlow Street 1907 / 2011
2102  Scotia Street 1924 / 2011","The project is ongoing and will eventually represent all the provinces in Canada. The architecture of language used to describe the past is my continuing interest. Here the project uses a dichotomy of dis-similar visual information about the same subject. Rather than the often used before and after images of place, this work injects both the place and the former residents within the same dialogue about Vancouver's past.",Various (Transit Shelters),https://app.vancouver.ca/publicart_net/Img/jpg/545.jpg,pid_154,eight different photographic based works couple an image of a contemporary address with a postcard or letter sent to the same address as far back in time as the envelope occupies the lower register and the location is pictured above it this was the first time the work was placed within the neighbourhoods represented and was shown within the context of the street outside a gallery june th july th july th august st title of artworks victoria drive drake street west th avenue granville street west broadway west boulevard thurlow street scotia street,the project is ongoing and will eventually represent all the provinces in canada the architecture of language used to describe the past is my continuing interest here the project uses a dichotomy of dis similar visual information about the same subject rather than the often used before and after images of place this work injects both the place and the former residents within the same dialogue about vancouver s past
180,Utility Pole," ""Ridgeway Greenway""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=230&Neighbourhood=&Ownership=&Program=,-123.12779099999999,49.237762,['Marko Simcic'],"""Garden rake"" sculptures mounted atop two cyclist-activated signal poles acknowledging the local gardening activities in the area, including Van Dusen Gardens.",,37th & Oak,https://app.vancouver.ca/publicart_net/Img/jpg/230.jpg,pid_155,garden rake sculptures mounted atop two cyclist activated signal poles acknowledging the local gardening activities in the area including van dusen gardens,
182,Sculpture Poems," ""Renfrew Community Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=268&Neighbourhood=&Ownership=&Program=,-123.044155,49.252022,['Sam Carter'],30-foot high faceted cedar poles with bronze Poem-Markers and six bollards sited beside ravine pathways,"Approximately 80 students created ""poems"" expressing their ideas about the ravine.  From these five were selected to be reproduced in clay and then bronze.  First year students from Emily Carr Institute of Art and Design assisted the Lord Beaconsfield Elementary School students with their clay modeling.  The Emily Carr students created animal and plant images interpreting the poems that were used as borders for the poems.  Later these were cast in bronze.  The bronze Poem Markers line the newly created pathway that runs along side the Renfrew Ravine.  Renfrew Ravine Totems created from drawings of flora and fauna from the ravine were crafted from computer-laser technology.  These forms were attached to 30-foot high faceted cedar poles and welcome visitors at both entrances to the Renfrew Ravine pathway.", 2929 East 22nd Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/268.jpg,pid_156,foot high faceted cedar poles with bronze poem markers and six bollards sited beside ravine pathways,approximately students created poems expressing their ideas about the ravine from these five were selected to be reproduced in clay and then bronze first year students from emily carr institute of art and design assisted the lord beaconsfield elementary school students with their clay modeling the emily carr students created animal and plant images interpreting the poems that were used as borders for the poems later these were cast in bronze the bronze poem markers line the newly created pathway that runs along side the renfrew ravine renfrew ravine totems created from drawings of flora and fauna from the ravine were crafted from computer laser technology these forms were attached to foot high faceted cedar poles and welcome visitors at both entrances to the renfrew ravine pathway
184,Mid-Main Mural Project," ""Mid-Main Community Health Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=263&Neighbourhood=&Ownership=&Program=,-123.10066599999999,49.249438,['Joey Mallett'],"The mural covers the entire front of the building on either side of the entrance facing south on 24th Ave.   Images are of children playing and people walking, representing the different cultural groups in the community.","The objective of the mural is to create better community awareness of the services of the clinic, beautify an institutional building and contribute to the neighbourhood health and beautification.", 3998 Main Street,https://app.vancouver.ca/publicart_net/Img/jpg/263.jpg,pid_157,the mural covers the entire front of the building on either side of the entrance facing south on th ave images are of children playing and people walking representing the different cultural groups in the community,the objective of the mural is to create better community awareness of the services of the clinic beautify an institutional building and contribute to the neighbourhood health and beautification
185,Trout Lake Community Centre Mural," ""Trout Lake Community Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=421&Neighbourhood=&Ownership=&Program=,-123.06528200000001,49.255626,['Linda Pearce'],The artist drew on questionnaires and interviews with people in the neighbourhood to develop the visual themes for the mural. The image includes animals and the lake as well as activities such as the market and the lantern parade.,, 3350 Victoria Drive,https://app.vancouver.ca/publicart_net/Img/jpg/421.jpg,pid_158,the artist drew on questionnaires and interviews with people in the neighbourhood to develop the visual themes for the mural the image includes animals and the lake as well as activities such as the market and the lantern parade,
186,One in Light," ""One Harbour Green""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=478&Neighbourhood=&Ownership=&Program=,-123.120971525984,49.28925817,['Dan Corson'],"Eight stainless steel towers are anchored in the pond. They are filled with glass and resin chunks representing raw coal and rough diamonds. The ""diamonds"" have different colour hues and are illuminated at night with multi-coloured LEDs that produce white light but reflect a variety of colours. A grid of perforated pipes on the bottom of the pond release bubbles to represent a grid of streets. The patterning of the ""streets"" changes occasionally. The water is illuminated with a dark blue light.",The project was inspired by the history of the site [from glacial ice to mineral resources] and its transition into a setting for a series of beautiful residential towers set on a spectacular waterfront.,1169 West Cordova,https://app.vancouver.ca/publicart_net/Img/jpg/478.jpg,pid_159,eight stainless steel towers are anchored in the pond they are filled with glass and resin chunks representing raw coal and rough diamonds the diamonds have different colour hues and are illuminated at night with multi coloured leds that produce white light but reflect a variety of colours a grid of perforated pipes on the bottom of the pond release bubbles to represent a grid of streets the patterning of the streets changes occasionally the water is illuminated with a dark blue light,the project was inspired by the history of the site from glacial ice to mineral resources and its transition into a setting for a series of beautiful residential towers set on a spectacular waterfront
187,Sky Chief Pole," ""Brockton Point""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=92&Neighbourhood=&Ownership=&Program=,-123.120898,49.299283,"['Art Thompson', '', '', '', 'Tim Paul']","The pole represents the Nuu-chah-nulth people: from the top, Sky Chief, Moon, Kingfisher, Humpback Whale with Thunderbird on its back. Lightning Snake with the head of a wolf is on either side of the Whale, with Wolf below.  A man of knowledge is at the bottom.",,Stanley Park,https://app.vancouver.ca/publicart_net/Img/jpg/092.jpg,pid_160,the pole represents the nuu chah nulth people from the top sky chief moon kingfisher humpback whale with thunderbird on its back lightning snake with the head of a wolf is on either side of the whale with wolf below a man of knowledge is at the bottom,
188,Monkey & Man," ""Main Library""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=126&Neighbourhood=&Ownership=&Program=,-123.252319,49.267070000000004,['George Thornton Sharp'],"The stone reliefs of a monkey and a man on the corners of the frame are references to the 1925 ""monkey trial"" of John Scopes. His crime was teaching Darwin's theory of evolution which was contrary to the Bible.",The work was a gift to UBC., UBC East Mall,,pid_161,the stone reliefs of a monkey and a man on the corners of the frame are references to the monkey trial of john scopes his crime was teaching darwin s theory of evolution which was contrary to the bible,the work was a gift to ubc
189,Celebration Frieze," ""Templeton Pool""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=415&Neighbourhood=&Ownership=&Program=,-123.058986,49.278338,['Cyndy Chwelos'],"Over three hundred hand-painted ceramic tiles were made by members of the Hastings/Templeton community. The finished frieze is two tiles deep and wraps partway around the exterior of the pool building. The tiles are grouped into sections by background colour punctuated by black and white panels created by the artist ""Like a patch-work quilt, one piece of fabric holds it together….""","Artist Cyndy Chwelos and Templeton Secondary art teacher, Karen Coflin conceptualized the project and involved community members in painting patterns that reflect traditional imagery from their varied cultural heritages. High school Career Preparation students Debbie Jung and Elisa Chee worked many hours assisting with the project .", 700 Templeton Drive,https://app.vancouver.ca/publicart_net/Img/jpg/415.jpg,pid_162,over three hundred hand painted ceramic tiles were made by members of the hastings templeton community the finished frieze is two tiles deep and wraps partway around the exterior of the pool building the tiles are grouped into sections by background colour punctuated by black and white panels created by the artist like a patch work quilt one piece of fabric holds it together,artist cyndy chwelos and templeton secondary art teacher karen coflin conceptualized the project and involved community members in painting patterns that reflect traditional imagery from their varied cultural heritages high school career preparation students debbie jung and elisa chee worked many hours assisting with the project
191,Rand and Edgar Mural (Maritime Museum Mural)," ""Vancouver Maritime Museum""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=369&Neighbourhood=&Ownership=&Program=,-123.148075,49.27753,['Frank Lewis'],This mural is an elaborately detailed and colourful depiction of the events and people in the history of the harbour of Vancouver.,"""Through a series of interconnected images,  this mural tells of the people and ships that played a vital role in shaping the history and culture of Vancouver.  Two centuries of activity are traced in time from left to right.""  (information sheet from the Maritime Museum)   In the upper left, the ""Lions"" represent the geographic outlook of Vancouver. The activity on the sea is represented by images of First Nations peoples and their canoes and Captain George Vancouver and his ship Discovery along with Valdes and Galiano and their ships Sutil and Mexicana from 1792.The image also shows Captain GH Richards who surveyed the area and his ship Plumber as well as the Beaver, the first steamship on the coast, a Hudson Bay Company supply vessel, along with others. In the diamond in the centre of the image is the Empress of Japan and its famous dragon figurehead which is in the Museum's collection.  Modern freighters and luxury steamers complete this section of the picture. The Lions Gate Bridge, built in 1939, is depicted, as is the St Roch, the RCMP patrol vessel that worked the North-West Passage in the early 1940s, which is housed in the Maritime Museum. Also shown are the Ivanhoe and the Master, wood-hulled tugs from the early 20th century. The harbour is depicted by Canada Place with its cruise ship facility and the Saskatchewan Grain Pool elevator and a Japanese freighter. The people who work in the harbour are also shown, identifiably Joe Fortes, the legendary English Bay lifeguard.                                                                                                                                                                                                   The mural was created for the Vancouver Centennial in 1986. It is a project of the Vancouver Legacies Programme in cooperation with the Vancouver Maritime Museum and a gift to the city from the firm of Rand and Edgar, Barristers and Solicitors.", 1905 Ogden Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/369.jpg,pid_163,this mural is an elaborately detailed and colourful depiction of the events and people in the history of the harbour of vancouver,through a series of interconnected images this mural tells of the people and ships that played a vital role in shaping the history and culture of vancouver two centuries of activity are traced in time from left to right information sheet from the maritime museum in the upper left the lions represent the geographic outlook of vancouver the activity on the sea is represented by images of first nations peoples and their canoes and captain george vancouver and his ship discovery along with valdes and galiano and their ships sutil and mexicana from the image also shows captain gh richards who surveyed the area and his ship plumber as well as the beaver the first steamship on the coast a hudson bay company supply vessel along with others in the diamond in the centre of the image is the empress of japan and its famous dragon figurehead which is in the museum s collection modern freighters and luxury steamers complete this section of the picture the lions gate bridge built in is depicted as is the st roch the rcmp patrol vessel that worked the north west passage in the early s which is housed in the maritime museum also shown are the ivanhoe and the master wood hulled tugs from the early th century the harbour is depicted by canada place with its cruise ship facility and the saskatchewan grain pool elevator and a japanese freighter the people who work in the harbour are also shown identifiably joe fortes the legendary english bay lifeguard the mural was created for the vancouver centennial in it is a project of the vancouver legacies programme in cooperation with the vancouver maritime museum and a gift to the city from the firm of rand and edgar barristers and solicitors
192,subTEXT:Community Signature Project," ""Commercial Drive Bridge""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=223&Neighbourhood=&Ownership=&Program=,-123.069599,49.262759,['Susan Schuppli'],Ceramic tiles inscribed with signatures of people set in east sidewalk of bridge.,"""Historically, bridges have been the frequent site of public monuments and plaques.... In formulating this particular proposal, I also began to think about more contemporary monuments such as the Vietnam Memorial in Washington.... This monument has a profound effect on visitors as they read through the list of 58,022 names of the war dead....the monument does not reduce history to a generalized commemmoration....it identifies and reclaims each individual for a larger collective history.  For the Grandview Cut Bridges Project, I am interested in constructing a public art component which directs its primary attention to the pedestrian traffic...in vital city neighbourhoods.…"," Grandview Cut, between 8th and Broadway",https://app.vancouver.ca/publicart_net/Img/jpg/223.jpg,pid_164,ceramic tiles inscribed with signatures of people set in east sidewalk of bridge,historically bridges have been the frequent site of public monuments and plaques in formulating this particular proposal i also began to think about more contemporary monuments such as the vietnam memorial in washington this monument has a profound effect on visitors as they read through the list of names of the war dead the monument does not reduce history to a generalized commemmoration it identifies and reclaims each individual for a larger collective history for the grandview cut bridges project i am interested in constructing a public art component which directs its primary attention to the pedestrian traffic in vital city neighbourhoods
193,Capturing the View," ""Three Harbour Green""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=601&Neighbourhood=&Ownership=&Program=,-123.118827,49.288707,['Jill Anholt'],Three tapered sculptures reach upwards and outward to capture and absorb Vancouver vistas for pedestrians - vistas typically seen only from Coal Harbour penthouses,"""A composition of three sculptural tree-like towers reach upwards and outwards towards Vancouver’s most desired views: the Mountains, the Park and the Water. The art elements capture distant vistas, absorbing them within the pieces’ inner cores as glowing coloured landscapes. The sculptures’ outer shells simultaneously reflect the local surroundings reaffirming the intimacy, beauty and significance of their immediate urban context."" [http://www.jillanholt.ca/projects/capturing-the-view]",277 Thurlow Street,https://app.vancouver.ca/publicart_net/Img/jpg/601.jpg,pid_165,three tapered sculptures reach upwards and outward to capture and absorb vancouver vistas for pedestrians vistas typically seen only from coal harbour penthouses,a composition of three sculptural tree like towers reach upwards and outwards towards vancouver s most desired views the mountains the park and the water the art elements capture distant vistas absorbing them within the pieces inner cores as glowing coloured landscapes the sculptures outer shells simultaneously reflect the local surroundings reaffirming the intimacy beauty and significance of their immediate urban context http www jillanholt ca projects capturing the view
194,Welcoming Walkway," ""Moberly Arts Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=267&Neighbourhood=&Ownership=&Program=,-123.08768300000001,49.215365999999996,"['Glen Andersen', '', '', '', 'Marina Szijarto']",The project includes mosaics on the front walkway and also banners.,, 7646 Prince Albert,https://app.vancouver.ca/publicart_net/Img/jpg/267.jpg,pid_166,the project includes mosaics on the front walkway and also banners,
196,Mind Crystal," ""Queen Elizabeth Plaza""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=590&Neighbourhood=&Ownership=&Program=,-123.113895,49.280003,['Cameron Kerr'],"""Mind Crystal"" is part of a series of works based on hexagonal city planters found around Vancouver and the pattern of the human eye retina and crystal formations. It was commissioned by the Public Art Program through a selection process for artworks to celebrate the City's 125th anniversary. The forms are influenced by the shape and contingencies of the stone itself during the carving process, and was carved in China under the artist's supervision.","Kerr's sculpture is associated with images and forms that we see around us. His practice is to give new life to these associations through different materials and scale. This granite and inlay sculpture is exquisitely carved, and is visually grounded in modernist architecture, art history and local cultural iconography.",Georgia & Hamilton,https://app.vancouver.ca/publicart_net/Img/jpg/590.jpg,pid_167,mind crystal is part of a series of works based on hexagonal city planters found around vancouver and the pattern of the human eye retina and crystal formations it was commissioned by the public art program through a selection process for artworks to celebrate the city s th anniversary the forms are influenced by the shape and contingencies of the stone itself during the carving process and was carved in china under the artist s supervision,kerr s sculpture is associated with images and forms that we see around us his practice is to give new life to these associations through different materials and scale this granite and inlay sculpture is exquisitely carved and is visually grounded in modernist architecture art history and local cultural iconography
